"",PROGRAMA RADIOFÔNICO “HORA MILAGROSA”
01 – Meu Natal,15 – Teu Voto de Amor
 O mundo vinha sofrendo terrível..., Nesse instante venho lhes falar
02 – Veio o Natal,16 – Parabéns Primaz
 Num belo dia lá no Céu apareceram, Neste dia está tudo mais belo
03 – Noite de Amor,17 – Neste Dia Natalício de Jesus
 Noite de amor a paz invade a minha..," Neste dia natalício de jesus, nós"
04 – Minha Eterna Adoração,18 – Alegria Fraternal
 Hoje no meu coração uma lembrança, É imenso o poder de Deus sobre
05 – Santas Mães,19 – O Céu por Testemunha
 Mãe é palavra sublime e tão santa," Era meia noite, era meia noite"
06 – Dia Escolhido,20 – Minha Gratidão às Mães
 Naquele Vinte e Seis de Outubro...," Neste momento solene, oh minha..."
07 – Data tão Esperada,21 – Lindo Menino
 Dez de Junho data tão esperada, Foi numa noite linda que o Trono
08 – A Humildade de um Rei,22 – Exemplos de Mãe
 Quando o Rei dos Reis aqui viveu, Mãe! Flor linda e singela que no
09 – Cântico de Aniversário,23 – Dia do teu Natal
" Parabéns, parabéns, parabéns..."," Neste dia, tão lindo dia, do Teu"
10 – O Messias,24 – Assim Nasceu minha Igreja
 A profecia anunciava que do povo, No começo foi uma semente apenas
11 – Recordando o Primeiro Natal,"25 – Parabéns, Felicidades"
" É Natal, é noite de paz"," Hoje é um dia tão lindo, pois hoje"
12 – Neste Dia Glorioso,26 – A Estrela Luz
 Neste dia glorioso o Reino Celestial, Está brilhando a estrela-luz no alto
13 – Cântico de Louvor,27 – Noite de Natal
" Cantarei em seu louvor, servirei ao"," Noite Feliz, noite de amor, toda a"
14 – Louvor a Jesus,28 – Dia de Glória
" Oh! Jesus Bendito, Nosso eterno"," Dia tão lindo, dia de glória quando a"
"",
"Rua Baguari, 158 - Tatuapé - São Paulo - SP – CEP 03084-900 – Fone (11) 2941-7066 – (Copyright © 1954-2015)",
www.apostolica.com.br,www.horamilagrosa.org
